"","V1","Application","Strain","Insecticide","Dose","Intensity","Subjects","Responded","Mortality_perc","lower","upper","dat"
"72",NA,NA,"Tiassale-13","Permethrin",0.0314011991919711,NA,NA,NA,98.4602925588875,93.4695442763747,99.9879471103752,"sim"
"73",NA,NA,"Tiassale-13","Permethrin",0.0324059742731957,NA,NA,NA,98.5796015089193,93.8121767232898,99.9910447895786,"sim"
"74",NA,NA,"Tiassale-13","Permethrin",0.0334265725840458,NA,NA,NA,98.6883288734539,94.1408741106466,99.9932785756289,"sim"
"75",NA,NA,"Tiassale-13","Permethrin",0.0344629941245216,NA,NA,NA,98.7874863245275,94.4264077289883,99.9949879453813,"sim"
"76",NA,NA,"Tiassale-13","Permethrin",0.0355152388946229,NA,NA,NA,98.8779855367189,94.6770547810378,99.996377307802,"sim"
"77",NA,NA,"Tiassale-13","Permethrin",0.0365833068943498,NA,NA,NA,98.9606479265853,94.914814424461,99.9973480958406,"sim"
"78",NA,NA,"Tiassale-13","Permethrin",0.0376671981237023,NA,NA,NA,99.0362135357405,95.1509458781454,99.9980317522252,"sim"
"79",NA,NA,"Tiassale-13","Permethrin",0.0387669125826804,NA,NA,NA,99.105349108054,95.403808781987,99.998562548501,"sim"
"80",NA,NA,"Tiassale-13","Permethrin",0.039882450271284,NA,NA,NA,99.1686554148203,95.6307072638924,99.9989648028184,"sim"
"81",NA,NA,"Tiassale-13","Permethrin",0.0410138111895133,NA,NA,NA,99.2266738830443,95.859395058806,99.9992472941732,"sim"
"82",NA,NA,"Tiassale-13","Permethrin",0.0421609953373681,NA,NA,NA,99.2798925817147,96.0795914849124,99.9994426618013,"sim"
"83",NA,NA,"Tiassale-13","Permethrin",0.0433240027148485,NA,NA,NA,99.3287516195421,96.2778683010106,99.9995894232474,"sim"
"84",NA,NA,"Tiassale-13","Permethrin",0.0445028333219545,NA,NA,NA,99.3736480054392,96.4532124140435,99.9996950471001,"sim"
"85",NA,NA,"Tiassale-13","Permethrin",0.0456974871586861,NA,NA,NA,99.4149400202946,96.6040961231719,99.9997785584127,"sim"
"86",NA,NA,"Tiassale-13","Permethrin",0.0469079642250433,NA,NA,NA,99.4529511455537,96.7438903501439,99.9998392757309,"sim"
"87",NA,NA,"Tiassale-13","Permethrin",0.048134264521026,NA,NA,NA,99.4879735909078,96.8999440175647,99.9998843168716,"sim"
"88",NA,NA,"Tiassale-13","Permethrin",0.0493763880466343,NA,NA,NA,99.5202714601505,97.0269677281676,99.9999165723491,"sim"
"89",NA,NA,"Tiassale-13","Permethrin",0.0506343348018682,NA,NA,NA,99.5500835910535,97.1653377039765,99.9999397611244,"sim"
"90",NA,NA,"Tiassale-13","Permethrin",0.0519081047867278,NA,NA,NA,99.5776261020184,97.3000881121744,99.9999550010082,"sim"
"91",NA,NA,"Tiassale-13","Permethrin",0.0531976980012128,NA,NA,NA,99.6030946753086,97.4072178750733,99.999966338193,"sim"
"92",NA,NA,"Tiassale-13","Permethrin",0.0545031144453235,NA,NA,NA,99.6266666038913,97.5184338336152,99.9999747100945,"sim"
"93",NA,NA,"Tiassale-13","Permethrin",0.0558243541190597,NA,NA,NA,99.648502626329,97.622983595348,99.9999805243679,"sim"
"94",NA,NA,"Tiassale-13","Permethrin",0.0571614170224216,NA,NA,NA,99.6687485717691,97.7119505915779,99.9999861820724,"sim"
"95",NA,NA,"Tiassale-13","Permethrin",0.058514303155409,NA,NA,NA,99.6875368348766,97.7940649468135,99.9999897590124,"sim"
"96",NA,NA,"Tiassale-13","Permethrin",0.059883012518022,NA,NA,NA,99.7049876985477,97.8815276961778,99.9999924023108,"sim"
"97",NA,NA,"Tiassale-13","Permethrin",0.0612675451102606,NA,NA,NA,99.7212105204093,97.9585920547149,99.9999944619432,"sim"
"98",NA,NA,"Tiassale-13","Permethrin",0.0626679009321248,NA,NA,NA,99.7363047974501,98.0323095255772,99.9999960021868,"sim"
"99",NA,NA,"Tiassale-13","Permethrin",0.0640840799836145,NA,NA,NA,99.7503611216316,98.1026168690586,99.9999971627913,"sim"
"100",NA,NA,"Tiassale-13","Permethrin",0.0655160822647299,NA,NA,NA,99.7634620379703,98.1971821702673,99.999997986,"sim"
"101",NA,NA,"Tiassale-13","Permethrin",0.0669639077754708,NA,NA,NA,99.7756828153702,98.2652146991873,99.9999985171392,"sim"
"102",NA,NA,"Tiassale-13","Permethrin",0.0684275565158373,NA,NA,NA,99.78709213939,98.3224249850673,99.9999989791943,"sim"
"103",NA,NA,"Tiassale-13","Permethrin",0.0699070284858294,NA,NA,NA,99.7977527351506,98.3900218896337,99.9999992927924,"sim"
"104",NA,NA,"Tiassale-13","Permethrin",0.071402323685447,NA,NA,NA,99.8077219277112,98.445604023302,99.9999994906411,"sim"
"105",NA,NA,"Tiassale-13","Permethrin",0.0729134421146903,NA,NA,NA,99.817052146459,98.5134101071387,99.9999996300715,"sim"
"106",NA,NA,"Tiassale-13","Permethrin",0.0744403837735591,NA,NA,NA,99.8257913793563,98.5753813800124,99.9999997348035,"sim"
"107",NA,NA,"Tiassale-13","Permethrin",0.0759831486620535,NA,NA,NA,99.8339835822606,98.6239684826575,99.9999998093349,"sim"
"108",NA,NA,"Tiassale-13","Permethrin",0.0775417367801736,NA,NA,NA,99.8416690479799,98.6724425544439,99.9999998629147,"sim"
"109",NA,NA,"Tiassale-13","Permethrin",0.0791161481279191,NA,NA,NA,99.8488847392205,98.7297916900835,99.9999998986781,"sim"
"110",NA,NA,"Tiassale-13","Permethrin",0.0807063827052903,NA,NA,NA,99.855664589146,98.7833090642458,99.9999999254418,"sim"
"111",NA,NA,"Tiassale-13","Permethrin",0.0823124405122871,NA,NA,NA,99.8620397728661,98.8159106730355,99.9999999457044,"sim"
"112",NA,NA,"Tiassale-13","Permethrin",0.0839343215489094,NA,NA,NA,99.8680389528224,98.8555138602086,99.9999999602005,"sim"
"113",NA,NA,"Tiassale-13","Permethrin",0.0855720258151574,NA,NA,NA,99.8736885007233,98.8945476574372,99.9999999715554,"sim"
"114",NA,NA,"Tiassale-13","Permethrin",0.0872255533110309,NA,NA,NA,99.8790126983986,98.9366944405724,99.9999999790365,"sim"
"115",NA,NA,"Tiassale-13","Permethrin",0.0888949040365299,NA,NA,NA,99.8840339196957,98.9670352297462,99.9999999849802,"sim"
"116",NA,NA,"Tiassale-13","Permethrin",0.0905800779916546,NA,NA,NA,99.8887727953143,98.9968445264158,99.9999999886962,"sim"
"117",NA,NA,"Tiassale-13","Permethrin",0.0922810751764049,NA,NA,NA,99.8932483622805,99.0256836280141,99.9999999920095,"sim"
"118",NA,NA,"Tiassale-13","Permethrin",0.0939978955907807,NA,NA,NA,99.8974781995799,99.0534333277533,99.9999999943902,"sim"
"119",NA,NA,"Tiassale-13","Permethrin",0.0957305392347822,NA,NA,NA,99.901478551315,99.0919752891962,99.9999999959626,"sim"
"120",NA,NA,"Tiassale-13","Permethrin",0.0974790061084092,NA,NA,NA,99.9052644386089,99.1205461209273,99.9999999971087,"sim"
"121",NA,NA,"Tiassale-13","Permethrin",0.0992432962116618,NA,NA,NA,99.9088497613513,99.145589906589,99.9999999978458,"sim"
"122",NA,NA,"Tiassale-13","Permethrin",0.10102340954454,NA,NA,NA,99.912247390771,99.173049178937,99.9999999984246,"sim"
"123",NA,NA,"Tiassale-13","Permethrin",0.102819346107044,NA,NA,NA,99.9154692537188,99.1951912252288,99.9999999988208,"sim"
"124",NA,NA,"Tiassale-13","Permethrin",0.104631105899173,NA,NA,NA,99.9185264094534,99.2166171918373,99.9999999991158,"sim"
"125",NA,NA,"Tiassale-13","Permethrin",0.106458688920928,NA,NA,NA,99.9214291196453,99.2373913523561,99.9999999993564,"sim"
"126",NA,NA,"Tiassale-13","Permethrin",0.108302095172309,NA,NA,NA,99.924186912238,99.2573230754568,99.999999999533,"sim"
"127",NA,NA,"Tiassale-13","Permethrin",0.110161324653315,NA,NA,NA,99.9268086397466,99.2773021802093,99.9999999996499,"sim"
"128",NA,NA,"Tiassale-13","Permethrin",0.112036377363946,NA,NA,NA,99.9293025325114,99.3021595335558,99.9999999997379,"sim"
"129",NA,NA,"Tiassale-13","Permethrin",0.113927253304204,NA,NA,NA,99.9316762473763,99.3203364235935,99.999999999814,"sim"
"130",NA,NA,"Tiassale-13","Permethrin",0.115833952474086,NA,NA,NA,99.9339369122134,99.3350192691665,99.999999999867,"sim"
